"Pathosystem","Strain","HostGeno","Replicate","BacGrowth"
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac042",6.891250523
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac042",7.053977821
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac042",7.393925883
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac042",6.891250523
"Pto_Col-0","Pto","Col-0","Bac043",6.192280519
"Pto_Col-0","Pto","Col-0","Bac043",6.192280519
"Pto_Col-0","Pto","Col-0","Bac043",6.341219532
"Pto_Col-0","Pto","Col-0","Bac043",5.96380119
"Pto_Col-0","Pto","Col-0","Bac043",6.150887834
"Pto_Col-0","Pto","Col-0","Bac043",6.053977821
"Pto_Col-0","Pto","Col-0","Bac043",6.128611439
"Pto_Col-0","Pto","Col-0","Bac043",6.23006908
"Pto_Col-0","Pto","Col-0","Bac043",6.053977821
"Pto_Col-0","Pto","Col-0","Bac043",6.192280519
"Pto_Col-0","Pto","Col-0","Bac043",6.368371778
"Pto_Col-0","Pto","Col-0","Bac043",6.192280519
"Pto_Col-0","Pto","Col-0","Bac043",6.192280519
"Pto_Col-0","Pto","Col-0","Bac043",6.418059562
"Pto_Col-0","Pto","Col-0","Bac043",5.929039084
"Pto_Col-0","Pto","Col-0","Bac043",6.503070352
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",5.701116187
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.355007816
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",5.565861182
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.105130343
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.649198388
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.451917829
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.312255836
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.150887834
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.418059562
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.406160339
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.312255836
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",5.891250523
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.08030676
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",5.96380119
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.105130343
"Pto_rpm1-3 rps2-101C","Pto","rpm1-3 rps2-101C","Bac043",6.281221602
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",7.150887834
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",6.96380119
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",7.297015869
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",7.150887834
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",7.150887834
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",7.418059562
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",7.297015869
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",6.656037812
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",6.891250523
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",7.053977821
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",6.451917829
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",6.891250523
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",6.752947825
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",6.628009089
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",6.662771195
"Pto_dde2-2 ein2-1 pad4-1 sid2-2","Pto","dde2-2 ein2-1 pad4-1 sid2-2","Bac043",6.694955878
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.281221602
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.355007816
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.326979093
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.211585674
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.440922445
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.752947825
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.62070985
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.281221602
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.540053918
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.368371778
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.326979093
"Pto_Col-0__mock","Pto","Col-0","Bac018",6.451917829
"Pto_Col-0_flg22","Pto","Col-0","Bac018",2.150887834
"Pto_Col-0_flg22","Pto","Col-0","Bac018",2.628009089
"Pto_Col-0_flg22","Pto","Col-0","Bac018",4.96380119
"Pto_Col-0_flg22","Pto","Col-0","Bac018",2.326979093
"Pto_Col-0_flg22","Pto","Col-0","Bac018",2.451917829
"Pto_Col-0_flg22","Pto","Col-0","Bac018",2.326979093
"Pto_Col-0_flg22","Pto","Col-0","Bac018",3.451917829
"Pto_Col-0_flg22","Pto","Col-0","Bac018",2.548827842
"Pto_Col-0_flg22","Pto","Col-0","Bac018",3.150887834
"Pto_Col-0_flg22","Pto","Col-0","Bac018",2.326979093
"Pto_Col-0_flg22","Pto","Col-0","Bac018",2.451917829
"Pto_Col-0_flg22","Pto","Col-0","Bac018",3.326979093
